stream,hour_utc,rows,min_receive_ts_ns,max_receive_ts_ns,first_event_offset_s,last_event_offset_s,coverage_seconds,events_per_covered_second,is_full_hour
book_ticker,2026-08-28 04:00:00+00:00,1401,1787890448362601000,1787890462903910000,848.362601,862.90391,14.541309,96.34620927180627,False
trade,2026-08-28 04:00:00+00:00,294,1787890448951082000,1787890462700564000,848.951082,862.700564,13.749482,21.382623723570095,False
book_ticker,2026-08-28 06:00:00+00:00,123286,1787899130433342000,1787900399968924000,2330.433342,3599.968924,1269.535582,97.11110247558229,False
trade,2026-08-28 06:00:00+00:00,52082,1787899130629470000,1787900399670111000,2330.62947,3599.670111,1269.040641,41.04045080775313,False
book_ticker,2026-08-28 07:00:00+00:00,420918,1787900400008715000,1787903999987908000,0.008715,3599.987908,3599.979193,116.92234244532757,True
trade,2026-08-28 07:00:00+00:00,142139,1787900400071571000,1787903999596341000,0.071571,3599.596341,3599.52477,39.48826833604482,True
book_ticker,2026-08-28 08:00:00+00:00,335740,1787904000011164000,1787907599994962000,0.011164,3599.994962,3599.983798,93.26153083981184,True
trade,2026-08-28 08:00:00+00:00,119763,1787904000011478000,1787907599517136000,0.011478,3599.517136,3599.505658,33.27206882806906,True
book_ticker,2026-08-28 09:00:00+00:00,343446,1787907600036327000,1787911199998107000,0.036327,3599.998107,3599.96178,95.4026795251143,True
trade,2026-08-28 09:00:00+00:00,124282,1787907600166461000,1787911199880948000,0.166461,3599.880948,3599.714487,34.52551596767791,True
book_ticker,2026-08-28 10:00:00+00:00,331285,1787911200047515000,1787914503289074000,0.047515,3303.289074,3303.241559,100.29087915093042,False
trade,2026-08-28 10:00:00+00:00,116307,1787911200063555000,1787914503220074000,0.063555,3303.220074,3303.156519,35.210865525443175,False
book_ticker,2026-08-28 11:00:00+00:00,6686,1787915457590820000,1787917996754862000,657.59082,3196.754862,2539.164042,2.6331500798718386,False
trade,2026-08-28 11:00:00+00:00,1560,1787915457601957000,1787917996475910000,657.601957,3196.47591,2538.873953,0.6144456278172704,False
book_ticker,2026-08-28 12:00:00+00:00,2968,1787918944306579000,1787921755904649000,544.306579,3355.904649,2811.59807,1.0556274140563768,False
trade,2026-08-28 12:00:00+00:00,1022,1787918944462148000,1787921755902567000,544.462148,3355.902567,2811.440419,0.3635147282841991,False
book_ticker,2026-08-28 13:00:00+00:00,578585,1787922473489213000,1787925599999334000,473.489213,3599.999334,3126.510121,185.05777291868873,False
trade,2026-08-28 13:00:00+00:00,199756,1787922473503451000,1787925599973359000,473.503451,3599.973359,3126.469908,63.891867146670776,False
book_ticker,2026-08-28 14:00:00+00:00,1144163,1787925600001125000,1787929199990352000,0.001125,3599.990352,3599.989227,317.8240066438954,True
trade,2026-08-28 14:00:00+00:00,445330,1787925600046237000,1787929199982547000,0.046237,3599.982547,3599.93631,123.704966324807,True
book_ticker,2026-08-28 15:00:00+00:00,932652,1787929200000266000,1787932799981824000,0.000266,3599.981824,3599.981558,259.07132716483767,True
trade,2026-08-28 15:00:00+00:00,307155,1787929200016132000,1787932799794094000,0.016132,3599.794094,3599.777962,85.32609600991829,True
book_ticker,2026-08-28 16:00:00+00:00,1164954,1787932800030927000,1787935924052917000,0.030927,3124.052917,3124.02199,372.90198459838626,False
